Freq[Hz]	[dBV]	Phase[Deg]
10.00	-40.95	-9.61
10.04	-40.94	-7.56
10.08	-40.93	-5.48
10.11	-40.92	-3.36
10.15	-40.91	-1.21
10.19	-40.90	0.97
10.23	-40.89	3.18
10.27	-40.88	5.42
10.31	-40.88	7.68
10.34	-40.87	9.97
10.38	-40.87	12.28
10.42	-40.87	14.62
10.46	-40.87	16.97
10.50	-40.87	19.34
10.54	-40.87	21.73
10.58	-40.88	24.12
10.62	-40.89	26.53
10.66	-40.90	28.95
10.70	-40.91	31.38
10.74	-40.93	33.81
10.78	-40.94	36.24
10.82	-40.96	38.67
10.86	-40.99	41.10
10.90	-41.01	43.52
10.95	-41.04	45.94
10.99	-41.07	48.34
11.03	-41.11	50.74
11.07	-41.15	53.12
11.11	-41.19	55.48
11.15	-41.24	57.81
11.20	-41.29	60.13
11.24	-41.35	62.42
11.28	-41.41	64.68
11.32	-41.47	66.91
11.37	-41.54	69.10
11.41	-41.62	71.25
11.45	-41.70	73.36
11.50	-41.78	75.43
11.54	-41.87	77.45
11.58	-41.97	79.41
11.63	-42.07	81.32
11.67	-42.18	83.17
11.71	-42.29	84.96
11.76	-42.41	86.68
11.80	-42.54	88.34
11.85	-42.67	89.93
11.89	-42.81	91.45
11.94	-42.95	92.91
11.98	-43.10	94.30
12.03	-43.26	95.63
12.07	-43.42	96.89
12.12	-43.59	98.08
12.16	-43.76	99.21
12.21	-43.94	100.28
12.26	-44.13	101.28
12.30	-44.31	102.22
12.35	-44.51	103.10
12.39	-44.70	103.91
12.44	-44.91	104.66
12.49	-45.11	105.35
12.54	-45.32	105.98
12.58	-45.53	106.54
12.63	-45.75	107.05
12.68	-45.97	107.49
12.73	-46.20	107.88
12.77	-46.43	108.20
12.82	-46.66	108.47
12.87	-46.89	108.68
12.92	-47.12	108.83
12.97	-47.36	108.93
13.02	-47.60	108.97
13.07	-47.84	108.95
13.12	-48.08	108.88
13.16	-48.33	108.75
13.21	-48.57	108.58
13.26	-48.82	108.35
13.31	-49.07	108.07
13.36	-49.31	107.73
13.41	-49.56	107.35
13.47	-49.81	106.92
13.52	-50.05	106.44
13.57	-50.30	105.92
13.62	-50.54	105.35
13.67	-50.78	104.73
13.72	-51.02	104.07
13.77	-51.26	103.37
13.83	-51.50	102.62
13.88	-51.73	101.83
13.93	-51.96	101.01
13.98	-52.19	100.15
14.04	-52.41	99.24
