Freq[Hz]	[dBV]	Phase[Deg]
10.00	-65.34	108.58
10.04	-65.36	108.25
10.08	-65.37	107.90
10.11	-65.39	107.51
10.15	-65.41	107.10
10.19	-65.43	106.67
10.23	-65.45	106.20
10.27	-65.46	105.72
10.31	-65.48	105.20
10.34	-65.50	104.67
10.38	-65.52	104.11
10.42	-65.54	103.53
10.46	-65.56	102.93
10.50	-65.58	102.30
10.54	-65.60	101.66
10.58	-65.62	101.00
10.62	-65.64	100.32
10.66	-65.67	99.62
10.70	-65.69	98.91
10.74	-65.71	98.18
10.78	-65.74	97.44
10.82	-65.77	96.68
10.86	-65.79	95.91
10.90	-65.82	95.13
10.95	-65.85	94.34
10.99	-65.88	93.54
11.03	-65.92	92.74
11.07	-65.95	91.92
11.11	-65.98	91.10
11.15	-66.02	90.27
11.20	-66.06	89.44
11.24	-66.10	88.61
11.28	-66.14	87.78
11.32	-66.19	86.95
11.37	-66.23	86.11
11.41	-66.28	85.29
11.45	-66.33	84.46
11.50	-66.38	83.64
11.54	-66.44	82.83
11.58	-66.50	82.03
11.63	-66.56	81.23
11.67	-66.62	80.45
11.71	-66.69	79.68
11.76	-66.76	78.93
11.80	-66.83	78.19
11.85	-66.90	77.47
11.89	-66.98	76.76
11.94	-67.06	76.07
11.98	-67.14	75.40
12.03	-67.23	74.74
12.07	-67.32	74.11
12.12	-67.41	73.49
12.16	-67.51	72.89
12.21	-67.60	72.31
12.26	-67.71	71.75
12.30	-67.81	71.21
12.35	-67.91	70.69
12.39	-68.02	70.19
12.44	-68.13	69.72
12.49	-68.25	69.26
12.54	-68.36	68.84
12.58	-68.48	68.43
12.63	-68.61	68.05
12.68	-68.73	67.70
12.73	-68.86	67.37
12.77	-68.99	67.06
12.82	-69.12	66.79
12.87	-69.25	66.54
12.92	-69.39	66.32
12.97	-69.53	66.13
13.02	-69.67	65.97
13.07	-69.81	65.83
13.12	-69.96	65.73
13.16	-70.11	65.66
13.21	-70.26	65.63
13.26	-70.41	65.62
13.31	-70.56	65.65
13.36	-70.72	65.72
13.41	-70.88	65.82
13.47	-71.04	65.95
13.52	-71.20	66.12
13.57	-71.36	66.33
13.62	-71.53	66.58
13.67	-71.70	66.87
13.72	-71.87	67.20
13.77	-72.04	67.57
13.83	-72.21	67.98
13.88	-72.38	68.43
13.93	-72.56	68.92
13.98	-72.74	69.46
14.04	-72.91	70.05
14.09	-73.09	70.68
14.14	-73.27	71.36
14.19	-73.46	72.09
14.25	-73.64	72.86
14.30	-73.82	73.69
14.36	-74.01	74.57
14.41	-74.19	75.49
14.46	-74.38	76.48
14.52	-74.57	77.51
14.57	-74.75	78.60
14.63	-74.94	79.75
14.68	-75.13	80.95
14.74	-75.32	82.21
14.80	-75.51	83.53
14.85	-75.70	84.90
14.91	-75.89	86.33
14.96	-76.08	87.81
15.02	-76.26	89.34
15.08	-76.45	90.92
15.13	-76.63	92.56
15.19	-76.82	94.24
15.25	-77.00	95.97
15.31	-77.18	97.75
15.36	-77.36	99.57
15.42	-77.53	101.44
15.48	-77.71	103.35
15.54	-77.88	105.30
15.60	-78.05	107.29
15.66	-78.21	109.32
15.71	-78.37	111.39
15.77	-78.53	113.49
15.83	-78.68	115.63
15.89	-78.82	117.81
15.95	-78.97	120.01
16.01	-79.10	122.24
16.07	-79.24	124.51
16.13	-79.36	126.80
16.19	-79.48	129.11
16.26	-79.60	131.45
16.32	-79.70	133.81
16.38	-79.80	136.18
16.44	-79.90	138.58
16.50	-79.98	140.99
16.56	-80.06	143.42
16.63	-80.12	145.85
16.69	-80.18	148.30
16.75	-80.23	150.75
16.82	-80.27	153.21
16.88	-80.30	155.67
16.94	-80.32	158.13
17.01	-80.33	160.59
17.07	-80.33	163.05
17.14	-80.31	165.49
17.20	-80.29	167.93
17.27	-80.25	170.36
17.33	-80.19	172.78
17.40	-80.13	175.17
17.46	-80.05	177.55
17.53	-79.95	179.90
17.59	-79.84	-177.77
17.66	-79.72	-175.46
17.73	-79.58	-173.20
17.79	-79.43	-170.96
17.86	-79.26	-168.76
17.93	-79.08	-166.60
18.00	-78.89	-164.49
18.06	-78.69	-162.42
18.13	-78.47	-160.41
18.20	-78.25	-158.45
18.27	-78.02	-156.54
18.34	-77.77	-154.70
18.41	-77.53	-152.92
18.48	-77.27	-151.21
18.55	-77.01	-149.57
18.62	-76.74	-148.01
18.69	-76.47	-146.52
18.76	-76.19	-145.13
18.83	-75.91	-143.82
18.90	-75.63	-142.60
18.97	-75.35	-141.48
19.04	-75.07	-140.46
19.11	-74.79	-139.54
19.19	-74.51	-138.74
19.26	-74.24	-138.05
19.33	-73.96	-137.48
19.40	-73.70	-137.03
19.48	-73.44	-136.71
19.55	-73.18	-136.53
19.62	-72.94	-136.48
19.70	-72.71	-136.58
19.77	-72.48	-136.83
19.85	-72.27	-137.23
19.92	-72.07	-137.79
20.00	-71.88	-138.52
20.07	-71.72	-139.42
20.15	-71.56	-140.50
20.22	-71.43	-141.75
20.30	-71.32	-143.20
20.38	-71.22	-144.84
20.45	-71.15	-146.69
20.53	-71.11	-148.74
20.61	-71.08	-151.00
20.69	-71.09	-153.45
20.77	-71.11	-156.10
20.84	-71.16	-158.94
20.92	-71.23	-161.94
21.00	-71.33	-165.11
21.08	-71.44	-168.43
21.16	-71.58	-171.89
21.24	-71.74	-175.49
21.32	-71.92	-179.21
21.40	-72.11	176.96
21.48	-72.33	173.02
21.56	-72.56	169.00
21.64	-72.81	164.90
21.73	-73.08	160.74
21.81	-73.36	156.52
21.89	-73.66	152.26
21.97	-73.97	147.98
22.06	-74.30	143.68
22.14	-74.64	139.37
22.22	-74.99	135.08
22.31	-75.35	130.82
22.39	-75.72	126.60
22.47	-76.11	122.43
22.56	-76.50	118.33
22.64	-76.89	114.32
22.73	-77.30	110.40
22.82	-77.71	106.61
22.90	-78.12	102.95
22.99	-78.54	99.43
23.07	-78.96	96.09
23.16	-79.39	92.93
23.25	-79.81	89.97
23.34	-80.24	87.23
23.43	-80.66	84.73
23.51	-81.08	82.49
23.60	-81.49	80.50
23.69	-81.90	78.77
23.78	-82.31	77.30
23.87	-82.71	76.07
23.96	-83.10	75.10
24.05	-83.49	74.37
24.14	-83.87	73.88
24.23	-84.24	73.63
24.32	-84.60	73.62
24.42	-84.95	73.85
24.51	-85.29	74.31
24.60	-85.62	74.99
24.69	-85.94	75.90
24.79	-86.24	77.03
24.88	-86.53	78.38
24.97	-86.80	79.94
25.07	-87.06	81.72
25.16	-87.29	83.69
25.26	-87.52	85.87
25.35	-87.72	88.25
25.45	-87.90	90.82
25.54	-88.06	93.58
25.64	-88.20	96.52
25.74	-88.31	99.65
25.84	-88.40	102.94
25.93	-88.47	106.41
26.03	-88.51	110.04
26.13	-88.52	113.84
26.23	-88.50	117.78
26.33	-88.45	121.87
26.43	-88.37	126.11
26.53	-88.26	130.48
26.63	-88.12	134.97
26.73	-87.96	139.57
26.83	-87.76	144.28
26.93	-87.55	149.07
27.03	-87.30	153.95
27.13	-87.04	158.88
27.23	-86.76	163.88
27.34	-86.46	168.91
27.44	-86.14	173.97
27.54	-85.81	179.05
27.65	-85.46	-175.87
27.75	-85.11	-170.80
27.86	-84.74	-165.76
27.96	-84.37	-160.76
28.07	-83.99	-155.82
28.17	-83.61	-150.95
28.28	-83.23	-146.16
28.39	-82.86	-141.47
28.49	-82.48	-136.90
28.60	-82.11	-132.47
28.71	-81.75	-128.18
28.82	-81.40	-124.06
28.93	-81.07	-120.13
29.03	-80.75	-116.40
29.14	-80.44	-112.89
29.25	-80.16	-109.63
29.36	-79.91	-106.62
29.48	-79.67	-103.87
29.59	-79.46	-101.37
29.70	-79.28	-99.11
29.81	-79.12	-97.09
29.92	-78.98	-95.30
30.04	-78.86	-93.71
30.15	-78.76	-92.34
30.26	-78.69	-91.15
30.38	-78.64	-90.15
30.49	-78.61	-89.33
30.61	-78.60	-88.66
30.72	-78.61	-88.15
30.84	-78.64	-87.77
30.95	-78.69	-87.52
31.07	-78.76	-87.39
31.19	-78.84	-87.36
31.31	-78.95	-87.42
31.42	-79.07	-87.55
31.54	-79.20	-87.75
31.66	-79.36	-87.99
31.78	-79.53	-88.27
31.90	-79.71	-88.57
32.02	-79.91	-88.88
