Freq[Hz]	[dBV]	Phase[Deg]
23.60	-42.23	-26.19
23.69	-42.12	-26.36
23.78	-42.01	-26.55
23.87	-41.90	-26.74
23.96	-41.78	-26.93
24.05	-41.67	-27.13
24.14	-41.55	-27.34
24.23	-41.44	-27.56
24.32	-41.33	-27.78
24.42	-41.21	-28.01
24.51	-41.09	-28.24
24.60	-40.98	-28.48
24.69	-40.86	-28.73
24.79	-40.74	-28.98
24.88	-40.63	-29.24
24.97	-40.51	-29.51
25.07	-40.39	-29.77
25.16	-40.27	-30.05
25.26	-40.15	-30.33
25.35	-40.03	-30.61
25.45	-39.91	-30.90
25.54	-39.79	-31.20
25.64	-39.67	-31.50
25.74	-39.55	-31.80
25.84	-39.42	-32.11
25.93	-39.30	-32.43
26.03	-39.18	-32.74
26.13	-39.05	-33.07
26.23	-38.93	-33.39
26.33	-38.80	-33.72
26.43	-38.67	-34.06
26.53	-38.55	-34.39
26.63	-38.42	-34.73
26.73	-38.29	-35.08
26.83	-38.16	-35.43
26.93	-38.03	-35.78
27.03	-37.90	-36.14
27.13	-37.76	-36.51
27.23	-37.63	-36.88
27.34	-37.50	-37.25
27.44	-37.36	-37.63
27.54	-37.23	-38.02
27.65	-37.09	-38.42
27.75	-36.96	-38.82
27.86	-36.82	-39.22
27.96	-36.68	-39.64
28.07	-36.54	-40.06
28.17	-36.40	-40.49
28.28	-36.26	-40.93
28.39	-36.12	-41.37
28.49	-35.98	-41.83
28.60	-35.84	-42.29
28.71	-35.70	-42.76
28.82	-35.55	-43.25
28.93	-35.41	-43.74
29.03	-35.27	-44.24
29.14	-35.12	-44.76
29.25	-34.98	-45.28
29.36	-34.83	-45.82
29.48	-34.68	-46.36
29.59	-34.53	-46.92
29.70	-34.39	-47.50
29.81	-34.24	-48.08
29.92	-34.09	-48.68
30.04	-33.94	-49.29
30.15	-33.79	-49.92
30.26	-33.64	-50.56
30.38	-33.49	-51.21
30.49	-33.34	-51.88
30.61	-33.19	-52.57
30.72	-33.03	-53.27
30.84	-32.88	-53.99
30.95	-32.73	-54.72
31.07	-32.58	-55.48
31.19	-32.43	-56.25
31.31	-32.27	-57.03
31.42	-32.12	-57.84
31.54	-31.97	-58.67
31.66	-31.82	-59.52
31.78	-31.67	-60.38
31.90	-31.52	-61.27
32.02	-31.36	-62.18
32.14	-31.21	-63.11
32.26	-31.06	-64.07
32.39	-30.91	-65.04
32.51	-30.76	-66.04
32.63	-30.61	-67.06
32.75	-30.47	-68.11
32.88	-30.32	-69.18
33.00	-30.17	-70.26
33.13	-30.03	-71.37
33.25	-29.89	-72.51
33.38	-29.75	-73.66
33.50	-29.61	-74.84
33.63	-29.47	-76.03
33.76	-29.34	-77.25
33.88	-29.21	-78.49
34.01	-29.08	-79.75
34.14	-28.96	-81.03
34.27	-28.84	-82.34
34.40	-28.72	-83.66
34.53	-28.61	-85.00
34.66	-28.50	-86.36
34.79	-28.39	-87.74
34.92	-28.29	-89.14
35.05	-28.20	-90.56
35.18	-28.11	-92.00
35.32	-28.02	-93.46
35.45	-27.94	-94.93
35.58	-27.87	-96.42
35.72	-27.80	-97.92
35.85	-27.74	-99.43
35.99	-27.68	-100.96
36.12	-27.63	-102.49
36.26	-27.58	-104.02
36.40	-27.54	-105.56
36.53	-27.50	-107.10
36.67	-27.47	-108.64
36.81	-27.44	-110.18
36.95	-27.42	-111.72
37.09	-27.40	-113.24
37.23	-27.39	-114.76
37.37	-27.38	-116.27
37.51	-27.38	-117.76
37.65	-27.38	-119.24
37.79	-27.39	-120.70
37.94	-27.40	-122.14
38.08	-27.41	-123.55
38.22	-27.43	-124.94
38.37	-27.46	-126.30
38.51	-27.48	-127.64
38.66	-27.51	-128.95
38.80	-27.55	-130.24
38.95	-27.59	-131.49
39.10	-27.63	-132.73
39.24	-27.67	-133.93
39.39	-27.72	-135.12
39.54	-27.77	-136.27
39.69	-27.82	-137.40
39.84	-27.87	-138.51
39.99	-27.93	-139.59
40.14	-27.99	-140.64
40.29	-28.04	-141.68
40.45	-28.10	-142.68
40.60	-28.16	-143.66
40.75	-28.22	-144.62
40.90	-28.28	-145.55
41.06	-28.34	-146.46
41.21	-28.40	-147.35
41.37	-28.46	-148.21
41.53	-28.52	-149.05
41.68	-28.58	-149.87
41.84	-28.63	-150.67
42.00	-28.69	-151.45
42.16	-28.75	-152.20
42.32	-28.80	-152.94
42.47	-28.86	-153.66
42.63	-28.91	-154.36
42.80	-28.97	-155.05
42.96	-29.02	-155.71
43.12	-29.07	-156.37
43.28	-29.12	-157.00
43.45	-29.17	-157.63
43.61	-29.22	-158.24
43.77	-29.27	-158.84
43.94	-29.32	-159.43
44.10	-29.37	-160.00
44.27	-29.42	-160.57
44.44	-29.46	-161.13
44.61	-29.50	-161.68
44.77	-29.55	-162.21
44.94	-29.59	-162.74
45.11	-29.63	-163.26
45.28	-29.67	-163.77
45.45	-29.71	-164.28
45.63	-29.75	-164.77
45.80	-29.79	-165.26
45.97	-29.82	-165.74
46.14	-29.86	-166.21
46.32	-29.89	-166.67
46.49	-29.92	-167.13
46.67	-29.95	-167.58
46.84	-29.98	-168.02
47.02	-30.01	-168.46
47.20	-30.04	-168.89
47.38	-30.06	-169.32
47.56	-30.09	-169.74
47.74	-30.11	-170.16
47.92	-30.13	-170.57
48.10	-30.15	-170.97
48.28	-30.17	-171.37
48.46	-30.19	-171.77
48.64	-30.21	-172.16
48.83	-30.22	-172.55
49.01	-30.24	-172.93
49.20	-30.25	-173.31
49.38	-30.26	-173.69
49.57	-30.27	-174.06
49.75	-30.28	-174.43
49.94	-30.29	-174.80
50.13	-30.30	-175.17
50.32	-30.31	-175.53
50.51	-30.31	-175.89
50.70	-30.32	-176.24
50.89	-30.32	-176.60
51.08	-30.33	-176.95
51.28	-30.33	-177.30
51.47	-30.33	-177.65
51.66	-30.33	-178.00
51.86	-30.33	-178.34
52.05	-30.33	-178.69
52.25	-30.32	-179.03
52.45	-30.32	-179.37
52.65	-30.31	-179.71
52.85	-30.31	179.95
53.04	-30.30	179.61
53.24	-30.29	179.28
53.45	-30.28	178.94
53.65	-30.27	178.60
53.85	-30.25	178.26
54.05	-30.24	177.93
54.26	-30.23	177.59
54.46	-30.21	177.25
54.67	-30.19	176.92
54.87	-30.17	176.58
55.08	-30.15	176.24
55.29	-30.13	175.90
55.50	-30.11	175.55
55.71	-30.09	175.21
55.92	-30.06	174.86
56.13	-30.04	174.51
56.34	-30.01	174.16
56.55	-29.98	173.81
56.77	-29.95	173.46
56.98	-29.92	173.10
57.19	-29.88	172.74
57.41	-29.85	172.38
57.63	-29.81	172.01
57.84	-29.78	171.65
58.06	-29.74	171.28
58.28	-29.70	170.90
58.50	-29.66	170.53
58.72	-29.62	170.15
58.94	-29.57	169.77
59.17	-29.53	169.38
59.39	-29.48	168.99
59.61	-29.44	168.60
59.84	-29.39	168.20
60.06	-29.34	167.80
60.29	-29.29	167.39
60.52	-29.23	166.97
60.75	-29.18	166.55
60.98	-29.12	166.12
61.21	-29.07	165.69
61.44	-29.01	165.24
61.67	-28.95	164.79
61.90	-28.89	164.34
62.14	-28.83	163.87
62.37	-28.76	163.39
62.61	-28.70	162.91
62.84	-28.63	162.41
63.08	-28.56	161.91
63.32	-28.49	161.39
63.56	-28.42	160.86
63.80	-28.34	160.32
64.04	-28.27	159.77
64.28	-28.19	159.21
64.52	-28.11	158.63
64.76	-28.03	158.04
65.01	-27.95	157.43
65.25	-27.87	156.81
65.50	-27.78	156.18
65.75	-27.69	155.52
66.00	-27.60	154.85
66.24	-27.51	154.16
66.49	-27.42	153.46
66.75	-27.32	152.73
67.00	-27.23	151.98
67.25	-27.13	151.21
67.50	-27.03	150.42
67.76	-26.92	149.61
68.01	-26.82	148.77
68.27	-26.72	147.90
68.53	-26.61	147.01
68.79	-26.50	146.09
69.05	-26.39	145.14
69.31	-26.28	144.16
69.57	-26.17	143.15
69.83	-26.06	142.11
70.09	-25.95	141.03
70.36	-25.83	139.91
70.62	-25.72	138.76
70.89	-25.60	137.57
71.16	-25.49	136.34
71.43	-25.37	135.07
71.70	-25.26	133.75
71.97	-25.15	132.39
72.24	-25.04	130.98
72.51	-24.93	129.52
72.79	-24.82	128.01
73.06	-24.71	126.45
73.34	-24.61	124.83
73.61	-24.51	123.16
73.89	-24.42	121.44
74.17	-24.33	119.66
74.45	-24.25	117.82
74.73	-24.17	115.94
75.01	-24.10	114.01
75.29	-24.04	112.03
75.58	-23.98	110.01
75.86	-23.94	107.94
76.15	-23.90	105.82
76.44	-23.88	103.67
76.73	-23.87	101.48
77.02	-23.87	99.26
