Freq[Hz]	[dBV]	Phase[Deg]
10.00	-73.12	11.76
10.04	-73.01	13.08
10.08	-72.89	14.40
10.11	-72.78	15.71
10.15	-72.66	17.00
10.19	-72.54	18.29
10.23	-72.41	19.57
10.27	-72.28	20.83
10.31	-72.15	22.08
10.34	-72.01	23.31
10.38	-71.87	24.52
10.42	-71.73	25.71
10.46	-71.58	26.88
10.50	-71.43	28.03
10.54	-71.28	29.15
10.58	-71.13	30.25
10.62	-70.98	31.32
10.66	-70.82	32.36
10.70	-70.66	33.36
10.74	-70.50	34.34
10.78	-70.33	35.28
10.82	-70.17	36.18
10.86	-70.00	37.04
10.90	-69.83	37.86
10.95	-69.67	38.64
10.99	-69.50	39.37
11.03	-69.32	40.06
11.07	-69.15	40.70
11.11	-68.98	41.28
11.15	-68.81	41.81
11.20	-68.63	42.29
11.24	-68.46	42.70
11.28	-68.29	43.06
11.32	-68.11	43.35
11.37	-67.94	43.58
11.41	-67.77	43.74
11.45	-67.60	43.83
11.50	-67.43	43.85
11.54	-67.26	43.79
11.58	-67.09	43.65
11.63	-66.93	43.43
11.67	-66.76	43.13
11.71	-66.60	42.74
11.76	-66.44	42.26
11.80	-66.29	41.70
11.85	-66.13	41.05
11.89	-65.98	40.31
11.94	-65.83	39.49
11.98	-65.69	38.59
12.03	-65.55	37.61
12.07	-65.41	36.56
12.12	-65.27	35.43
12.16	-65.14	34.22
12.21	-65.01	32.95
12.26	-64.88	31.61
12.30	-64.76	30.21
12.35	-64.65	28.74
12.39	-64.53	27.21
12.44	-64.42	25.63
12.49	-64.32	23.99
12.54	-64.22	22.29
12.58	-64.12	20.55
12.63	-64.03	18.76
12.68	-63.95	16.93
12.73	-63.87	15.06
12.77	-63.79	13.15
12.82	-63.72	11.20
12.87	-63.66	9.23
12.92	-63.60	7.22
12.97	-63.55	5.19
13.02	-63.50	3.14
13.07	-63.47	1.08
13.12	-63.43	-1.01
13.16	-63.41	-3.10
13.21	-63.39	-5.19
13.26	-63.37	-7.29
13.31	-63.37	-9.39
13.36	-63.37	-11.48
13.41	-63.38	-13.57
13.47	-63.40	-15.63
13.52	-63.43	-17.68
13.57	-63.46	-19.71
13.62	-63.50	-21.71
13.67	-63.56	-23.68
13.72	-63.62	-25.61
13.77	-63.69	-27.50
13.83	-63.77	-29.34
13.88	-63.86	-31.13
13.93	-63.95	-32.86
13.98	-64.06	-34.53
14.04	-64.18	-36.14
14.09	-64.31	-37.67
14.14	-64.45	-39.12
14.19	-64.60	-40.49
14.25	-64.77	-41.76
14.30	-64.94	-42.94
14.36	-65.13	-44.02
14.41	-65.33	-44.99
14.46	-65.54	-45.85
14.52	-65.76	-46.58
14.57	-66.00	-47.19
14.63	-66.25	-47.66
14.68	-66.51	-47.99
14.74	-66.79	-48.17
14.80	-67.08	-48.22
14.85	-67.39	-48.12
14.91	-67.70	-47.88
14.96	-68.03	-47.49
15.02	-68.37	-46.97
15.08	-68.72	-46.31
15.13	-69.08	-45.51
15.19	-69.45	-44.58
15.25	-69.83	-43.51
15.31	-70.22	-42.30
15.36	-70.62	-40.96
15.42	-71.02	-39.48
15.48	-71.44	-37.87
15.54	-71.86	-36.13
15.60	-72.29	-34.27
15.66	-72.72	-32.27
15.71	-73.16	-30.14
15.77	-73.61	-27.89
15.83	-74.06	-25.52
15.89	-74.51	-23.02
15.95	-74.97	-20.41
16.01	-75.43	-17.67
16.07	-75.89	-14.81
16.13	-76.35	-11.84
16.19	-76.81	-8.75
16.26	-77.28	-5.55
16.32	-77.74	-2.24
16.38	-78.20	1.18
16.44	-78.66	4.71
16.50	-79.11	8.34
16.56	-79.56	12.08
