Freq[Hz]	[dBV]	Phase[Deg]
10.00	-55.18	-15.68
10.04	-55.39	-14.77
10.08	-55.60	-13.80
10.11	-55.81	-12.79
10.15	-56.02	-11.73
10.19	-56.24	-10.62
10.23	-56.45	-9.47
10.27	-56.66	-8.27
10.31	-56.88	-7.02
10.34	-57.09	-5.72
10.38	-57.31	-4.37
10.42	-57.53	-2.98
10.46	-57.74	-1.55
10.50	-57.96	-0.06
10.54	-58.18	1.46
10.58	-58.40	3.03
10.62	-58.61	4.65
10.66	-58.83	6.31
10.70	-59.05	8.02
10.74	-59.26	9.76
10.78	-59.48	11.55
10.82	-59.69	13.38
10.86	-59.91	15.26
10.90	-60.12	17.17
10.95	-60.33	19.13
10.99	-60.55	21.12
11.03	-60.76	23.16
11.07	-60.96	25.23
11.11	-61.17	27.34
11.15	-61.37	29.49
11.20	-61.58	31.68
11.24	-61.78	33.90
11.28	-61.98	36.16
11.32	-62.17	38.45
11.37	-62.37	40.78
11.41	-62.56	43.14
11.45	-62.74	45.54
11.50	-62.93	47.96
11.54	-63.11	50.42
11.58	-63.29	52.90
11.63	-63.46	55.42
11.67	-63.63	57.96
11.71	-63.80	60.54
11.76	-63.96	63.13
11.80	-64.12	65.76
11.85	-64.28	68.40
11.89	-64.43	71.07
11.94	-64.57	73.76
11.98	-64.71	76.47
12.03	-64.85	79.20
12.07	-64.99	81.94
12.12	-65.12	84.69
12.16	-65.24	87.46
12.21	-65.36	90.23
12.26	-65.48	93.02
12.30	-65.60	95.81
12.35	-65.71	98.60
12.39	-65.82	101.39
12.44	-65.92	104.19
12.49	-66.02	106.98
12.54	-66.12	109.77
12.58	-66.21	112.55
12.63	-66.30	115.32
12.68	-66.39	118.09
12.73	-66.47	120.83
12.77	-66.55	123.57
12.82	-66.63	126.28
12.87	-66.70	128.97
12.92	-66.77	131.64
12.97	-66.84	134.28
13.02	-66.91	136.89
13.07	-66.97	139.47
13.12	-67.03	142.02
13.16	-67.09	144.53
13.21	-67.15	147.00
13.26	-67.20	149.42
13.31	-67.25	151.80
13.36	-67.30	154.13
13.41	-67.35	156.41
13.47	-67.39	158.63
13.52	-67.43	160.79
13.57	-67.47	162.89
13.62	-67.51	164.92
13.67	-67.55	166.88
13.72	-67.59	168.77
13.77	-67.62	170.58
13.83	-67.66	172.32
13.88	-67.69	173.96
13.93	-67.72	175.52
13.98	-67.75	176.99
14.04	-67.78	178.36
14.09	-67.81	179.64
14.14	-67.84	-179.20
14.19	-67.87	-178.14
14.25	-67.90	-177.19
14.30	-67.93	-176.36
14.36	-67.96	-175.66
14.41	-67.99	-175.08
14.46	-68.02	-174.63
14.52	-68.05	-174.31
14.57	-68.08	-174.14
14.63	-68.11	-174.11
14.68	-68.14	-174.23
14.74	-68.18	-174.50
14.80	-68.21	-174.93
14.85	-68.25	-175.50
14.91	-68.29	-176.22
14.96	-68.33	-177.09
15.02	-68.37	-178.11
15.08	-68.41	-179.27
15.13	-68.45	179.42
15.19	-68.49	177.97
15.25	-68.53	176.37
15.31	-68.58	174.64
15.36	-68.62	172.76
15.42	-68.67	170.75
15.48	-68.72	168.60
15.54	-68.76	166.32
15.60	-68.81	163.90
15.66	-68.86	161.34
15.71	-68.91	158.66
15.77	-68.96	155.85
15.83	-69.01	152.91
15.89	-69.06	149.84
15.95	-69.11	146.66
16.01	-69.16	143.34
16.07	-69.21	139.91
16.13	-69.27	136.37
16.19	-69.32	132.70
16.26	-69.37	128.93
16.32	-69.42	125.04
16.38	-69.47	121.04
16.44	-69.52	116.94
16.50	-69.58	112.73
16.56	-69.63	108.42
16.63	-69.68	104.01
16.69	-69.73	99.51
16.75	-69.78	94.91
16.82	-69.83	90.22
16.88	-69.88	85.44
16.94	-69.92	80.58
17.01	-69.97	75.64
17.07	-70.02	70.62
17.14	-70.07	65.52
17.20	-70.11	60.35
17.27	-70.15	55.11
17.33	-70.20	49.81
17.40	-70.24	44.45
17.46	-70.28	39.02
17.53	-70.32	33.55
17.59	-70.36	28.02
17.66	-70.39	22.45
17.73	-70.43	16.84
17.79	-70.46	11.19
17.86	-70.49	5.53
17.93	-70.52	-0.15
18.00	-70.55	-5.84
18.06	-70.58	-11.52
18.13	-70.61	-17.20
18.20	-70.64	-22.85
18.27	-70.67	-28.48
18.34	-70.69	-34.07
18.41	-70.72	-39.62
18.48	-70.74	-45.11
18.55	-70.76	-50.54
18.62	-70.79	-55.89
18.69	-70.81	-61.16
18.76	-70.84	-66.33
18.83	-70.86	-71.40
18.90	-70.88	-76.35
18.97	-70.91	-81.18
19.04	-70.93	-85.86
19.11	-70.96	-90.40
19.19	-70.98	-94.77
19.26	-71.01	-98.97
19.33	-71.03	-102.99
19.40	-71.06	-106.81
19.48	-71.09	-110.42
19.55	-71.12	-113.80
19.62	-71.15	-116.95
19.70	-71.18	-119.84
19.77	-71.22	-122.48
19.85	-71.25	-124.83
19.92	-71.29	-126.90
20.00	-71.33	-128.65
20.07	-71.37	-130.09
20.15	-71.42	-131.19
20.22	-71.47	-131.94
20.30	-71.52	-132.32
20.38	-71.57	-132.32
20.45	-71.62	-131.92
20.53	-71.68	-131.10
20.61	-71.75	-129.86
20.69	-71.81	-128.22
20.77	-71.88	-126.18
20.84	-71.95	-123.77
20.92	-72.03	-120.99
21.00	-72.10	-117.88
21.08	-72.18	-114.44
21.16	-72.27	-110.69
21.24	-72.35	-106.65
21.32	-72.44	-102.34
21.40	-72.53	-97.78
21.48	-72.63	-92.99
21.56	-72.73	-87.98
21.64	-72.82	-82.79
21.73	-72.92	-77.42
21.81	-73.03	-71.91
21.89	-73.13	-66.26
21.97	-73.24	-60.52
22.06	-73.35	-54.69
22.14	-73.46	-48.81
22.22	-73.57	-42.90
22.31	-73.69	-36.97
22.39	-73.80	-31.07
22.47	-73.92	-25.21
22.56	-74.04	-19.41
22.64	-74.16	-13.72
22.73	-74.28	-8.15
22.82	-74.40	-2.73
22.90	-74.52	2.50
22.99	-74.64	7.52
23.07	-74.76	12.31
23.16	-74.89	16.81
23.25	-75.01	21.02
23.34	-75.13	24.88
23.43	-75.26	28.38
23.51	-75.38	31.48
23.60	-75.50	34.18
23.69	-75.63	36.50
23.78	-75.75	38.46
23.87	-75.87	40.07
23.96	-75.99	41.35
24.05	-76.12	42.32
24.14	-76.24	42.99
24.23	-76.36	43.38
24.32	-76.49	43.50
24.42	-76.61	43.39
24.51	-76.74	43.06
24.60	-76.86	42.52
24.69	-76.99	41.80
24.79	-77.12	40.92
24.88	-77.24	39.90
24.97	-77.37	38.77
25.07	-77.50	37.53
25.16	-77.63	36.22
25.26	-77.76	34.87
25.35	-77.90	33.48
25.45	-78.03	32.10
25.54	-78.17	30.74
25.64	-78.31	29.43
25.74	-78.45	28.19
25.84	-78.59	27.05
25.93	-78.73	26.05
26.03	-78.88	25.20
26.13	-79.02	24.54
26.23	-79.17	24.09
26.33	-79.32	23.89
26.43	-79.48	23.96
26.53	-79.64	24.31
26.63	-79.79	24.93
26.73	-79.95	25.80
26.83	-80.11	26.92
26.93	-80.27	28.27
27.03	-80.43	29.82
27.13	-80.59	31.58
27.23	-80.74	33.53
27.34	-80.89	35.64
27.44	-81.04	37.92
27.54	-81.18	40.33
27.65	-81.32	42.86
27.75	-81.45	45.50
27.86	-81.57	48.23
27.96	-81.68	51.03
28.07	-81.79	53.89
28.17	-81.89	56.78
