Freq[Hz]	[dBV]	Phase[Deg]
23.78	-32.96	-27.22
23.87	-32.85	-27.39
23.96	-32.74	-27.56
24.05	-32.63	-27.74
24.14	-32.52	-27.91
24.23	-32.41	-28.09
24.32	-32.30	-28.27
24.42	-32.18	-28.45
24.51	-32.07	-28.63
24.60	-31.96	-28.82
24.69	-31.84	-29.01
24.79	-31.73	-29.20
24.88	-31.61	-29.39
24.97	-31.50	-29.58
25.07	-31.38	-29.78
25.16	-31.26	-29.98
25.26	-31.15	-30.19
25.35	-31.03	-30.39
25.45	-30.91	-30.60
25.54	-30.79	-30.82
25.64	-30.67	-31.04
25.74	-30.55	-31.26
25.84	-30.43	-31.49
25.93	-30.31	-31.72
26.03	-30.18	-31.95
26.13	-30.06	-32.20
26.23	-29.94	-32.44
26.33	-29.82	-32.69
26.43	-29.69	-32.95
26.53	-29.57	-33.21
26.63	-29.44	-33.48
26.73	-29.31	-33.75
26.83	-29.19	-34.03
26.93	-29.06	-34.32
27.03	-28.93	-34.61
27.13	-28.81	-34.91
27.23	-28.68	-35.21
27.34	-28.55	-35.52
27.44	-28.42	-35.84
27.54	-28.29	-36.17
27.65	-28.16	-36.51
27.75	-28.02	-36.85
27.86	-27.89	-37.20
27.96	-27.76	-37.55
28.07	-27.63	-37.92
28.17	-27.49	-38.30
28.28	-27.36	-38.68
28.39	-27.22	-39.07
28.49	-27.09	-39.47
28.60	-26.95	-39.88
28.71	-26.82	-40.30
28.82	-26.68	-40.74
28.93	-26.54	-41.18
29.03	-26.40	-41.63
29.14	-26.26	-42.09
29.25	-26.12	-42.56
29.36	-25.98	-43.04
29.48	-25.84	-43.54
29.59	-25.70	-44.04
29.70	-25.56	-44.56
29.81	-25.42	-45.09
29.92	-25.28	-45.63
30.04	-25.13	-46.19
30.15	-24.99	-46.76
30.26	-24.84	-47.33
30.38	-24.70	-47.93
30.49	-24.55	-48.53
30.61	-24.41	-49.15
30.72	-24.26	-49.79
30.84	-24.12	-50.43
30.95	-23.97	-51.10
31.07	-23.82	-51.77
31.19	-23.68	-52.46
31.31	-23.53	-53.17
31.42	-23.38	-53.89
31.54	-23.23	-54.63
31.66	-23.09	-55.38
31.78	-22.94	-56.15
31.90	-22.79	-56.94
32.02	-22.64	-57.74
32.14	-22.49	-58.56
32.26	-22.34	-59.40
32.39	-22.20	-60.25
32.51	-22.05	-61.12
32.63	-21.90	-62.01
32.75	-21.75	-62.92
32.88	-21.60	-63.85
33.00	-21.46	-64.79
33.13	-21.31	-65.75
33.25	-21.17	-66.73
33.38	-21.02	-67.73
33.50	-20.88	-68.75
33.63	-20.74	-69.79
33.76	-20.60	-70.84
33.88	-20.46	-71.91
34.01	-20.32	-73.01
34.14	-20.19	-74.12
34.27	-20.06	-75.25
34.40	-19.93	-76.40
34.53	-19.80	-77.57
34.66	-19.68	-78.75
34.79	-19.56	-79.96
34.92	-19.44	-81.19
35.05	-19.32	-82.44
35.18	-19.21	-83.70
35.32	-19.10	-84.99
35.45	-19.00	-86.29
35.58	-18.90	-87.62
35.72	-18.80	-88.95
35.85	-18.71	-90.31
35.99	-18.62	-91.68
36.12	-18.53	-93.06
36.26	-18.45	-94.45
36.40	-18.37	-95.85
36.53	-18.30	-97.26
36.67	-18.23	-98.68
36.81	-18.17	-100.11
36.95	-18.11	-101.54
37.09	-18.05	-102.97
37.23	-18.00	-104.41
37.37	-17.96	-105.85
37.51	-17.92	-107.28
37.65	-17.88	-108.72
37.79	-17.85	-110.15
37.94	-17.82	-111.57
38.08	-17.80	-112.99
38.22	-17.79	-114.40
38.37	-17.78	-115.79
38.51	-17.77	-117.18
38.66	-17.77	-118.56
38.80	-17.77	-119.92
38.95	-17.78	-121.27
39.10	-17.79	-122.61
39.24	-17.81	-123.93
39.39	-17.83	-125.24
39.54	-17.85	-126.53
39.69	-17.88	-127.80
39.84	-17.91	-129.05
39.99	-17.95	-130.29
40.14	-17.98	-131.50
40.29	-18.02	-132.70
40.45	-18.06	-133.87
40.60	-18.10	-135.01
