Freq[Hz]	[dBV]	Phase[Deg]
10.00	-67.38	-80.55
10.04	-67.58	-79.60
10.08	-67.78	-78.64
10.11	-67.98	-77.64
10.15	-68.18	-76.61
10.19	-68.38	-75.56
10.23	-68.58	-74.48
10.27	-68.77	-73.38
10.31	-68.97	-72.24
10.34	-69.16	-71.08
10.38	-69.36	-69.89
10.42	-69.55	-68.67
10.46	-69.74	-67.43
10.50	-69.93	-66.16
10.54	-70.12	-64.86
10.58	-70.30	-63.54
10.62	-70.49	-62.19
10.66	-70.67	-60.81
10.70	-70.85	-59.41
10.74	-71.02	-57.98
10.78	-71.20	-56.53
10.82	-71.37	-55.05
10.86	-71.54	-53.54
10.90	-71.70	-52.01
10.95	-71.86	-50.45
10.99	-72.02	-48.87
11.03	-72.17	-47.26
11.07	-72.32	-45.63
11.11	-72.46	-43.98
11.15	-72.60	-42.30
11.20	-72.74	-40.59
11.24	-72.87	-38.86
11.28	-72.99	-37.11
11.32	-73.11	-35.34
11.37	-73.22	-33.54
11.41	-73.33	-31.72
11.45	-73.43	-29.88
11.50	-73.53	-28.01
11.54	-73.61	-26.12
11.58	-73.69	-24.22
11.63	-73.77	-22.29
11.67	-73.83	-20.34
11.71	-73.89	-18.36
11.76	-73.94	-16.37
11.80	-73.98	-14.36
11.85	-74.02	-12.34
11.89	-74.04	-10.29
11.94	-74.06	-8.24
11.98	-74.07	-6.17
12.03	-74.08	-4.09
12.07	-74.07	-2.01
12.12	-74.06	0.09
12.16	-74.04	2.19
12.21	-74.02	4.29
12.26	-73.98	6.39
12.30	-73.94	8.49
12.35	-73.90	10.59
12.39	-73.84	12.68
12.44	-73.78	14.76
12.49	-73.72	16.83
12.54	-73.65	18.90
12.58	-73.57	20.94
12.63	-73.48	22.97
12.68	-73.39	24.99
12.73	-73.30	26.98
12.77	-73.20	28.94
12.82	-73.09	30.88
12.87	-72.98	32.79
12.92	-72.86	34.67
12.97	-72.74	36.51
13.02	-72.61	38.31
13.07	-72.48	40.08
13.12	-72.35	41.80
