Freq[Hz]	[dBV]	Phase[Deg]
10.00	-51.24	163.14
10.04	-51.22	163.28
10.08	-51.20	163.42
10.11	-51.18	163.54
10.15	-51.16	163.67
10.19	-51.15	163.78
10.23	-51.13	163.90
10.27	-51.12	164.01
10.31	-51.12	164.12
10.34	-51.11	164.23
10.38	-51.11	164.34
10.42	-51.11	164.46
10.46	-51.12	164.58
10.50	-51.13	164.71
10.54	-51.14	164.85
10.58	-51.16	165.00
10.62	-51.18	165.16
10.66	-51.20	165.33
10.70	-51.23	165.52
10.74	-51.27	165.73
10.78	-51.31	165.96
10.82	-51.36	166.20
10.86	-51.41	166.47
10.90	-51.47	166.77
10.95	-51.53	167.09
10.99	-51.61	167.44
11.03	-51.68	167.82
11.07	-51.77	168.23
11.11	-51.86	168.68
11.15	-51.96	169.16
11.20	-52.07	169.69
11.24	-52.19	170.25
11.28	-52.32	170.86
11.32	-52.45	171.52
11.37	-52.59	172.23
11.41	-52.75	172.98
11.45	-52.91	173.80
11.50	-53.09	174.66
11.54	-53.27	175.59
11.58	-53.46	176.58
11.63	-53.67	177.63
11.67	-53.89	178.75
11.71	-54.12	179.95
11.76	-54.36	-178.79
11.80	-54.62	-177.46
11.85	-54.88	-176.05
11.89	-55.16	-174.57
11.94	-55.45	-173.03
11.98	-55.75	-171.42
12.03	-56.06	-169.74
12.07	-56.38	-168.00
12.12	-56.72	-166.20
12.16	-57.06	-164.34
12.21	-57.41	-162.42
12.26	-57.77	-160.45
12.30	-58.14	-158.42
12.35	-58.51	-156.33
12.39	-58.90	-154.20
12.44	-59.29	-152.01
12.49	-59.69	-149.78
12.54	-60.10	-147.50
12.58	-60.51	-145.19
12.63	-60.93	-142.82
12.68	-61.35	-140.43
12.73	-61.78	-137.99
12.77	-62.22	-135.52
12.82	-62.65	-133.02
12.87	-63.09	-130.49
12.92	-63.54	-127.94
12.97	-63.99	-125.36
13.02	-64.43	-122.75
13.07	-64.88	-120.13
13.12	-65.34	-117.50
13.16	-65.79	-114.85
13.21	-66.24	-112.19
13.26	-66.69	-109.52
13.31	-67.14	-106.85
13.36	-67.59	-104.18
13.41	-68.03	-101.51
13.47	-68.47	-98.84
13.52	-68.91	-96.19
13.57	-69.35	-93.54
13.62	-69.77	-90.92
13.67	-70.20	-88.31
13.72	-70.61	-85.72
13.77	-71.02	-83.16
13.83	-71.42	-80.63
13.88	-71.81	-78.13
13.93	-72.19	-75.67
13.98	-72.56	-73.26
14.04	-72.92	-70.89
14.09	-73.27	-68.57
14.14	-73.61	-66.30
14.19	-73.93	-64.09
14.25	-74.24	-61.95
14.30	-74.53	-59.87
14.36	-74.80	-57.87
14.41	-75.06	-55.94
14.46	-75.30	-54.10
14.52	-75.52	-52.34
14.57	-75.72	-50.67
14.63	-75.90	-49.10
14.68	-76.06	-47.64
14.74	-76.19	-46.27
14.80	-76.30	-45.01
14.85	-76.39	-43.85
14.91	-76.46	-42.78
14.96	-76.51	-41.82
15.02	-76.54	-40.95
15.08	-76.55	-40.17
15.13	-76.54	-39.48
15.19	-76.51	-38.88
15.25	-76.46	-38.37
15.31	-76.39	-37.95
15.36	-76.31	-37.61
15.42	-76.21	-37.35
15.48	-76.09	-37.17
15.54	-75.95	-37.06
15.60	-75.80	-37.03
15.66	-75.64	-37.08
15.71	-75.46	-37.19
15.77	-75.27	-37.37
15.83	-75.06	-37.62
15.89	-74.84	-37.92
15.95	-74.61	-38.29
16.01	-74.37	-38.71
16.07	-74.12	-39.19
16.13	-73.85	-39.71
16.19	-73.58	-40.29
16.26	-73.30	-40.91
16.32	-73.01	-41.57
16.38	-72.72	-42.27
16.44	-72.42	-43.00
16.50	-72.11	-43.76
16.56	-71.80	-44.55
16.63	-71.48	-45.37
16.69	-71.16	-46.21
16.75	-70.84	-47.06
16.82	-70.52	-47.93
16.88	-70.20	-48.80
16.94	-69.88	-49.68
17.01	-69.56	-50.57
17.07	-69.25	-51.44
17.14	-68.93	-52.32
17.20	-68.63	-53.17
17.27	-68.32	-54.02
17.33	-68.03	-54.84
17.40	-67.74	-55.63
17.46	-67.46	-56.40
17.53	-67.20	-57.13
17.59	-66.94	-57.82
17.66	-66.70	-58.46
17.73	-66.46	-59.06
17.79	-66.24	-59.62
17.86	-66.04	-60.14
17.93	-65.84	-60.62
18.00	-65.66	-61.05
18.06	-65.49	-61.45
18.13	-65.33	-61.81
18.20	-65.19	-62.14
18.27	-65.05	-62.43
18.34	-64.93	-62.69
18.41	-64.82	-62.91
18.48	-64.73	-63.10
18.55	-64.65	-63.27
18.62	-64.58	-63.40
18.69	-64.52	-63.50
18.76	-64.47	-63.58
18.83	-64.44	-63.64
18.90	-64.42	-63.67
18.97	-64.41	-63.67
19.04	-64.42	-63.66
19.11	-64.43	-63.63
19.19	-64.46	-63.58
19.26	-64.50	-63.52
19.33	-64.56	-63.44
19.40	-64.63	-63.35
19.48	-64.70	-63.25
19.55	-64.80	-63.14
19.62	-64.90	-63.02
19.70	-65.02	-62.89
19.77	-65.15	-62.77
19.85	-65.29	-62.64
19.92	-65.44	-62.51
20.00	-65.60	-62.39
20.07	-65.78	-62.27
20.15	-65.97	-62.15
20.22	-66.17	-62.05
20.30	-66.39	-61.96
20.38	-66.61	-61.88
20.45	-66.85	-61.81
20.53	-67.10	-61.77
20.61	-67.36	-61.74
20.69	-67.63	-61.74
20.77	-67.92	-61.77
20.84	-68.21	-61.83
20.92	-68.51	-61.91
21.00	-68.81	-62.04
21.08	-69.12	-62.20
21.16	-69.44	-62.40
21.24	-69.76	-62.65
21.32	-70.09	-62.95
21.40	-70.41	-63.30
21.48	-70.74	-63.70
21.56	-71.07	-64.16
21.64	-71.39	-64.69
21.73	-71.72	-65.28
21.81	-72.04	-65.94
21.89	-72.35	-66.68
21.97	-72.66	-67.49
22.06	-72.96	-68.39
22.14	-73.26	-69.37
22.22	-73.54	-70.44
22.31	-73.82	-71.61
22.39	-74.08	-72.87
22.47	-74.32	-74.24
22.56	-74.55	-75.71
22.64	-74.77	-77.30
22.73	-74.96	-79.00
22.82	-75.14	-80.82
22.90	-75.29	-82.77
22.99	-75.43	-84.86
23.07	-75.53	-87.07
23.16	-75.61	-89.43
23.25	-75.67	-91.94
23.34	-75.69	-94.59
23.43	-75.68	-97.41
23.51	-75.64	-100.38
23.60	-75.57	-103.51
23.69	-75.47	-106.79
23.78	-75.34	-110.21
23.87	-75.19	-113.76
23.96	-75.02	-117.43
24.05	-74.82	-121.21
24.14	-74.61	-125.10
24.23	-74.39	-129.07
24.32	-74.16	-133.13
24.42	-73.92	-137.26
24.51	-73.67	-141.46
24.60	-73.42	-145.70
24.69	-73.17	-149.98
24.79	-72.93	-154.30
24.88	-72.69	-158.63
24.97	-72.46	-162.96
25.07	-72.25	-167.29
25.16	-72.05	-171.60
25.26	-71.88	-175.88
25.35	-71.73	179.89
25.45	-71.60	175.72
25.54	-71.51	171.61
25.64	-71.46	167.60
25.74	-71.44	163.68
25.84	-71.46	159.87
25.93	-71.54	156.19
26.03	-71.66	152.66
26.13	-71.84	149.29
26.23	-72.08	146.08
26.33	-72.38	143.07
26.43	-72.76	140.27
26.53	-73.20	137.67
26.63	-73.70	135.26
26.73	-74.26	133.02
26.83	-74.87	130.94
26.93	-75.53	129.01
27.03	-76.23	127.20
27.13	-76.97	125.50
27.23	-77.74	123.89
27.34	-78.54	122.35
27.44	-79.35	120.87
27.54	-80.18	119.43
27.65	-81.01	118.00
27.75	-81.85	116.57
27.86	-82.67	115.12
