Freq[Hz]	[dBV]	Phase[Deg]
10.00	-57.11	-134.20
10.04	-57.18	-131.99
10.08	-57.24	-129.74
10.11	-57.31	-127.43
10.15	-57.37	-125.09
10.19	-57.43	-122.70
10.23	-57.49	-120.27
10.27	-57.55	-117.80
10.31	-57.61	-115.29
10.34	-57.67	-112.75
10.38	-57.73	-110.17
10.42	-57.78	-107.55
10.46	-57.84	-104.90
10.50	-57.89	-102.23
10.54	-57.95	-99.52
10.58	-58.00	-96.79
10.62	-58.05	-94.03
10.66	-58.10	-91.25
10.70	-58.15	-88.44
10.74	-58.20	-85.62
10.78	-58.24	-82.78
10.82	-58.29	-79.93
10.86	-58.34	-77.06
10.90	-58.38	-74.18
10.95	-58.42	-71.29
10.99	-58.47	-68.40
11.03	-58.51	-65.50
11.07	-58.55	-62.60
11.11	-58.59	-59.70
11.15	-58.62	-56.80
11.20	-58.66	-53.91
11.24	-58.70	-51.03
11.28	-58.73	-48.16
11.32	-58.76	-45.30
11.37	-58.80	-42.45
11.41	-58.83	-39.63
11.45	-58.86	-36.83
11.50	-58.89	-34.05
11.54	-58.91	-31.31
11.58	-58.94	-28.59
11.63	-58.96	-25.90
11.67	-58.99	-23.26
11.71	-59.01	-20.65
11.76	-59.03	-18.09
11.80	-59.06	-15.57
11.85	-59.07	-13.10
11.89	-59.09	-10.67
11.94	-59.11	-8.28
11.98	-59.13	-5.94
12.03	-59.14	-3.64
12.07	-59.16	-1.38
12.12	-59.17	0.83
12.16	-59.18	3.00
12.21	-59.19	5.13
12.26	-59.21	7.22
12.30	-59.21	9.26
12.35	-59.22	11.27
12.39	-59.23	13.23
12.44	-59.24	15.15
12.49	-59.25	17.04
12.54	-59.25	18.88
12.58	-59.26	20.68
12.63	-59.26	22.45
12.68	-59.27	24.17
12.73	-59.27	25.86
12.77	-59.27	27.51
12.82	-59.27	29.12
12.87	-59.28	30.70
12.92	-59.28	32.24
12.97	-59.28	33.74
13.02	-59.28	35.21
13.07	-59.28	36.64
13.12	-59.28	38.04
13.16	-59.28	39.40
13.21	-59.28	40.73
13.26	-59.28	42.03
13.31	-59.28	43.30
13.36	-59.28	44.54
13.41	-59.28	45.74
13.47	-59.28	46.92
13.52	-59.28	48.07
13.57	-59.28	49.19
13.62	-59.28	50.28
13.67	-59.28	51.35
13.72	-59.28	52.39
13.77	-59.28	53.40
13.83	-59.28	54.39
13.88	-59.28	55.36
13.93	-59.28	56.30
13.98	-59.29	57.23
14.04	-59.29	58.13
14.09	-59.30	59.02
14.14	-59.30	59.88
14.19	-59.31	60.73
14.25	-59.32	61.56
14.30	-59.33	62.38
14.36	-59.34	63.18
14.41	-59.35	63.98
14.46	-59.36	64.75
14.52	-59.37	65.52
14.57	-59.39	66.28
14.63	-59.41	67.03
14.68	-59.42	67.78
14.74	-59.44	68.52
14.80	-59.47	69.25
