Freq[Hz]	[dBV]	Phase[Deg]
10.00	-52.60	147.40
10.04	-52.52	147.30
10.08	-52.45	147.24
10.11	-52.37	147.20
10.15	-52.30	147.19
10.19	-52.22	147.20
10.23	-52.15	147.24
10.27	-52.08	147.31
10.31	-52.01	147.41
10.34	-51.93	147.53
10.38	-51.86	147.68
10.42	-51.80	147.86
10.46	-51.73	148.06
10.50	-51.66	148.29
10.54	-51.60	148.54
10.58	-51.53	148.82
10.62	-51.47	149.13
10.66	-51.41	149.46
10.70	-51.35	149.82
10.74	-51.30	150.20
10.78	-51.24	150.61
10.82	-51.19	151.04
10.86	-51.14	151.50
10.90	-51.09	151.98
10.95	-51.05	152.49
10.99	-51.01	153.02
11.03	-50.97	153.58
11.07	-50.93	154.16
11.11	-50.89	154.77
11.15	-50.86	155.39
11.20	-50.84	156.04
11.24	-50.81	156.72
11.28	-50.79	157.41
11.32	-50.77	158.13
11.37	-50.76	158.87
11.41	-50.75	159.64
11.45	-50.75	160.42
11.50	-50.75	161.23
11.54	-50.75	162.06
11.58	-50.76	162.90
11.63	-50.77	163.77
11.67	-50.79	164.66
11.71	-50.81	165.57
11.76	-50.84	166.49
11.80	-50.88	167.44
11.85	-50.92	168.40
11.89	-50.96	169.39
11.94	-51.01	170.39
11.98	-51.06	171.41
12.03	-51.12	172.45
12.07	-51.19	173.50
12.12	-51.26	174.58
12.16	-51.33	175.67
12.21	-51.41	176.78
12.26	-51.49	177.90
12.30	-51.58	179.05
12.35	-51.68	-179.79
12.39	-51.77	-178.62
12.44	-51.88	-177.43
12.49	-51.98	-176.22
12.54	-52.10	-174.99
12.58	-52.21	-173.75
12.63	-52.33	-172.50
12.68	-52.46	-171.23
12.73	-52.58	-169.94
12.77	-52.72	-168.64
12.82	-52.85	-167.33
12.87	-52.99	-166.00
12.92	-53.14	-164.66
12.97	-53.28	-163.31
13.02	-53.43	-161.94
13.07	-53.59	-160.57
13.12	-53.75	-159.18
13.16	-53.91	-157.77
13.21	-54.07	-156.36
13.26	-54.24	-154.94
13.31	-54.41	-153.50
13.36	-54.58	-152.06
13.41	-54.76	-150.60
13.47	-54.94	-149.14
13.52	-55.12	-147.67
13.57	-55.30	-146.19
13.62	-55.49	-144.70
13.67	-55.67	-143.20
13.72	-55.86	-141.70
13.77	-56.05	-140.19
13.83	-56.25	-138.68
13.88	-56.44	-137.16
13.93	-56.64	-135.63
13.98	-56.83	-134.11
14.04	-57.03	-132.57
14.09	-57.23	-131.04
14.14	-57.43	-129.50
14.19	-57.63	-127.96
