Freq[Hz]	[dBV]	Phase[Deg]
23.78	-30.22	-43.70
23.87	-30.06	-44.26
23.96	-29.90	-44.83
24.05	-29.74	-45.41
24.14	-29.58	-46.02
24.23	-29.42	-46.64
24.32	-29.26	-47.29
24.42	-29.10	-47.95
24.51	-28.94	-48.64
24.60	-28.78	-49.34
24.69	-28.62	-50.07
24.79	-28.46	-50.81
24.88	-28.29	-51.58
24.97	-28.13	-52.38
25.07	-27.97	-53.20
25.16	-27.81	-54.04
25.26	-27.65	-54.90
25.35	-27.49	-55.80
25.45	-27.33	-56.72
25.54	-27.17	-57.66
25.64	-27.02	-58.63
25.74	-26.86	-59.63
25.84	-26.70	-60.66
25.93	-26.55	-61.72
26.03	-26.39	-62.81
26.13	-26.24	-63.93
26.23	-26.08	-65.09
26.33	-25.93	-66.27
26.43	-25.78	-67.49
26.53	-25.63	-68.74
26.63	-25.49	-70.02
26.73	-25.34	-71.34
26.83	-25.20	-72.68
26.93	-25.06	-74.05
27.03	-24.92	-75.45
27.13	-24.78	-76.87
27.23	-24.65	-78.32
27.34	-24.52	-79.80
27.44	-24.39	-81.29
27.54	-24.27	-82.81
27.65	-24.15	-84.35
27.75	-24.03	-85.90
27.86	-23.92	-87.48
27.96	-23.81	-89.06
28.07	-23.71	-90.66
28.17	-23.61	-92.28
28.28	-23.52	-93.90
28.39	-23.43	-95.54
28.49	-23.35	-97.18
28.60	-23.28	-98.83
28.71	-23.21	-100.48
28.82	-23.15	-102.13
28.93	-23.10	-103.79
29.03	-23.05	-105.44
29.14	-23.01	-107.09
29.25	-22.98	-108.74
29.36	-22.96	-110.38
29.48	-22.95	-112.01
29.59	-22.94	-113.63
29.70	-22.94	-115.24
29.81	-22.95	-116.84
29.92	-22.97	-118.43
30.04	-22.99	-120.01
30.15	-23.02	-121.57
30.26	-23.06	-123.12
30.38	-23.10	-124.65
30.49	-23.15	-126.16
30.61	-23.20	-127.66
30.72	-23.26	-129.13
30.84	-23.32	-130.59
30.95	-23.39	-132.02
31.07	-23.46	-133.43
31.19	-23.53	-134.81
31.31	-23.61	-136.18
31.42	-23.69	-137.51
31.54	-23.78	-138.81
31.66	-23.86	-140.09
31.78	-23.95	-141.34
31.90	-24.03	-142.55
32.02	-24.12	-143.73
32.14	-24.21	-144.88
32.26	-24.30	-145.99
32.39	-24.38	-147.06
32.51	-24.47	-148.09
32.63	-24.56	-149.10
32.75	-24.64	-150.06
32.88	-24.73	-151.00
33.00	-24.81	-151.90
33.13	-24.89	-152.76
33.25	-24.97	-153.60
33.38	-25.06	-154.41
33.50	-25.14	-155.19
33.63	-25.22	-155.94
33.76	-25.29	-156.67
33.88	-25.37	-157.37
34.01	-25.45	-158.05
34.14	-25.52	-158.70
34.27	-25.60	-159.33
34.40	-25.67	-159.95
34.53	-25.74	-160.54
34.66	-25.82	-161.11
34.79	-25.89	-161.67
34.92	-25.96	-162.21
35.05	-26.02	-162.74
35.18	-26.09	-163.26
35.32	-26.16	-163.77
35.45	-26.22	-164.26
35.58	-26.29	-164.75
35.72	-26.35	-165.22
35.85	-26.41	-165.69
35.99	-26.47	-166.14
36.12	-26.53	-166.59
36.26	-26.58	-167.03
36.40	-26.64	-167.46
36.53	-26.70	-167.89
36.67	-26.75	-168.30
36.81	-26.80	-168.71
36.95	-26.85	-169.11
37.09	-26.90	-169.51
37.23	-26.95	-169.90
37.37	-27.00	-170.29
37.51	-27.05	-170.67
37.65	-27.09	-171.05
37.79	-27.14	-171.43
37.94	-27.18	-171.80
38.08	-27.23	-172.17
38.22	-27.27	-172.54
38.37	-27.31	-172.90
38.51	-27.34	-173.27
38.66	-27.38	-173.63
38.80	-27.42	-173.99
38.95	-27.46	-174.35
39.10	-27.49	-174.70
39.24	-27.52	-175.05
39.39	-27.56	-175.40
39.54	-27.59	-175.75
39.69	-27.62	-176.09
39.84	-27.65	-176.43
39.99	-27.68	-176.77
40.14	-27.71	-177.11
40.29	-27.74	-177.44
40.45	-27.76	-177.76
40.60	-27.79	-178.09
40.75	-27.82	-178.41
40.90	-27.84	-178.72
41.06	-27.87	-179.03
41.21	-27.89	-179.34
41.37	-27.92	-179.64
41.53	-27.94	-179.94
41.68	-27.96	179.76
41.84	-27.98	179.47
42.00	-28.01	179.19
42.16	-28.03	178.90
42.32	-28.05	178.62
42.47	-28.07	178.34
42.63	-28.09	178.07
42.80	-28.10	177.80
42.96	-28.12	177.53
43.12	-28.13	177.26
43.28	-28.15	177.00
43.45	-28.16	176.74
43.61	-28.17	176.47
43.77	-28.19	176.22
43.94	-28.19	175.96
44.10	-28.20	175.70
44.27	-28.21	175.45
44.44	-28.22	175.19
44.61	-28.22	174.94
44.77	-28.22	174.69
44.94	-28.23	174.43
45.11	-28.23	174.18
45.28	-28.23	173.93
45.45	-28.23	173.67
45.63	-28.22	173.41
45.80	-28.22	173.16
45.97	-28.22	172.90
46.14	-28.21	172.64
46.32	-28.21	172.37
46.49	-28.20	172.11
46.67	-28.19	171.84
46.84	-28.18	171.57
47.02	-28.17	171.29
47.20	-28.16	171.01
47.38	-28.15	170.73
