Freq[Hz]	[dBV]	Phase[Deg]
10.00	-67.17	168.07
10.04	-67.35	170.01
10.08	-67.53	171.94
10.11	-67.71	173.88
10.15	-67.90	175.81
10.19	-68.07	177.74
10.23	-68.25	179.67
10.27	-68.43	-178.42
10.31	-68.60	-176.52
10.34	-68.78	-174.62
10.38	-68.95	-172.75
10.42	-69.12	-170.89
10.46	-69.29	-169.04
10.50	-69.45	-167.22
10.54	-69.62	-165.42
10.58	-69.78	-163.65
10.62	-69.93	-161.90
10.66	-70.09	-160.18
10.70	-70.24	-158.50
10.74	-70.39	-156.85
10.78	-70.53	-155.23
10.82	-70.67	-153.65
10.86	-70.81	-152.12
10.90	-70.94	-150.63
10.95	-71.07	-149.19
10.99	-71.19	-147.79
11.03	-71.31	-146.45
11.07	-71.42	-145.17
11.11	-71.53	-143.94
11.15	-71.64	-142.77
11.20	-71.73	-141.67
11.24	-71.82	-140.63
11.28	-71.91	-139.67
11.32	-71.99	-138.77
11.37	-72.06	-137.96
11.41	-72.13	-137.22
11.45	-72.18	-136.57
11.50	-72.23	-136.00
11.54	-72.28	-135.53
11.58	-72.31	-135.14
11.63	-72.34	-134.86
11.67	-72.36	-134.67
11.71	-72.37	-134.59
11.76	-72.37	-134.62
11.80	-72.36	-134.75
11.85	-72.34	-134.99
11.89	-72.31	-135.32
11.94	-72.28	-135.76
11.98	-72.23	-136.30
12.03	-72.18	-136.93
12.07	-72.13	-137.64
12.12	-72.06	-138.45
12.16	-71.99	-139.34
12.21	-71.91	-140.32
12.26	-71.82	-141.37
12.30	-71.73	-142.50
12.35	-71.63	-143.70
12.39	-71.52	-144.97
12.44	-71.41	-146.31
12.49	-71.29	-147.71
12.54	-71.17	-149.17
12.58	-71.04	-150.68
12.63	-70.91	-152.24
12.68	-70.78	-153.85
12.73	-70.64	-155.50
12.77	-70.49	-157.20
12.82	-70.35	-158.92
12.87	-70.20	-160.68
12.92	-70.05	-162.46
12.97	-69.89	-164.27
13.02	-69.74	-166.09
13.07	-69.58	-167.92
13.12	-69.43	-169.77
13.16	-69.27	-171.61
13.21	-69.11	-173.45
13.26	-68.95	-175.28
13.31	-68.80	-177.10
13.36	-68.64	-178.90
13.41	-68.48	179.32
13.47	-68.33	177.57
13.52	-68.18	175.86
13.57	-68.04	174.19
13.62	-67.89	172.56
13.67	-67.75	170.99
13.72	-67.62	169.48
13.77	-67.49	168.04
13.83	-67.36	166.67
13.88	-67.25	165.38
13.93	-67.13	164.17
