Freq[Hz]	[dBV]	Phase[Deg]
10.00	-53.70	175.71
10.04	-53.69	176.66
10.08	-53.67	177.62
10.11	-53.66	178.58
10.15	-53.65	179.55
10.19	-53.63	-179.48
10.23	-53.62	-178.50
10.27	-53.61	-177.52
10.31	-53.60	-176.53
10.34	-53.60	-175.52
10.38	-53.59	-174.51
10.42	-53.59	-173.49
10.46	-53.59	-172.46
10.50	-53.59	-171.42
10.54	-53.59	-170.36
10.58	-53.60	-169.29
10.62	-53.60	-168.21
10.66	-53.61	-167.11
10.70	-53.63	-165.99
10.74	-53.65	-164.86
10.78	-53.67	-163.71
10.82	-53.69	-162.54
10.86	-53.72	-161.35
10.90	-53.75	-160.14
10.95	-53.79	-158.91
10.99	-53.83	-157.65
11.03	-53.87	-156.37
11.07	-53.92	-155.07
11.11	-53.98	-153.74
11.15	-54.04	-152.38
11.20	-54.11	-150.99
11.24	-54.18	-149.57
11.28	-54.26	-148.13
11.32	-54.34	-146.65
11.37	-54.43	-145.13
11.41	-54.53	-143.59
11.45	-54.63	-142.00
11.50	-54.74	-140.38
11.54	-54.86	-138.72
11.58	-54.99	-137.02
11.63	-55.13	-135.28
11.67	-55.27	-133.50
11.71	-55.42	-131.67
11.76	-55.58	-129.79
11.80	-55.75	-127.87
11.85	-55.93	-125.91
11.89	-56.12	-123.91
11.94	-56.31	-121.87
11.98	-56.52	-119.78
12.03	-56.73	-117.66
12.07	-56.95	-115.51
12.12	-57.17	-113.32
12.16	-57.40	-111.09
12.21	-57.64	-108.84
12.26	-57.89	-106.56
12.30	-58.14	-104.25
12.35	-58.39	-101.92
12.39	-58.66	-99.56
12.44	-58.92	-97.18
12.49	-59.19	-94.79
12.54	-59.47	-92.37
12.58	-59.75	-89.94
12.63	-60.03	-87.50
12.68	-60.32	-85.05
12.73	-60.61	-82.59
12.77	-60.90	-80.12
12.82	-61.20	-77.65
12.87	-61.49	-75.18
12.92	-61.79	-72.71
12.97	-62.09	-70.24
13.02	-62.39	-67.78
13.07	-62.69	-65.33
13.12	-62.99	-62.89
13.16	-63.28	-60.46
13.21	-63.58	-58.05
13.26	-63.88	-55.67
13.31	-64.17	-53.30
13.36	-64.46	-50.96
13.41	-64.75	-48.65
13.47	-65.03	-46.37
13.52	-65.31	-44.13
13.57	-65.58	-41.93
13.62	-65.85	-39.76
13.67	-66.11	-37.65
13.72	-66.37	-35.58
13.77	-66.62	-33.56
13.83	-66.86	-31.61
13.88	-67.10	-29.71
13.93	-67.32	-27.87
13.98	-67.53	-26.10
14.04	-67.74	-24.41
14.09	-67.93	-22.78
14.14	-68.11	-21.24
14.19	-68.28	-19.78
14.25	-68.44	-18.41
14.30	-68.59	-17.13
14.36	-68.71	-15.95
14.41	-68.83	-14.87
14.46	-68.93	-13.89
14.52	-69.01	-13.03
14.57	-69.07	-12.28
14.63	-69.12	-11.64
14.68	-69.14	-11.14
14.74	-69.15	-10.76
14.80	-69.14	-10.49
14.85	-69.11	-10.35
14.91	-69.07	-10.32
14.96	-69.00	-10.41
15.02	-68.93	-10.60
15.08	-68.83	-10.89
15.13	-68.72	-11.29
15.19	-68.60	-11.78
15.25	-68.47	-12.37
15.31	-68.32	-13.04
15.36	-68.16	-13.80
15.42	-67.99	-14.64
15.48	-67.81	-15.56
15.54	-67.62	-16.55
15.60	-67.42	-17.60
15.66	-67.21	-18.72
15.71	-67.00	-19.90
15.77	-66.78	-21.12
15.83	-66.56	-22.40
15.89	-66.33	-23.72
15.95	-66.10	-25.08
16.01	-65.87	-26.47
16.07	-65.63	-27.88
16.13	-65.40	-29.32
16.19	-65.17	-30.77
16.26	-64.94	-32.23
16.32	-64.71	-33.69
16.38	-64.49	-35.15
16.44	-64.27	-36.60
16.50	-64.06	-38.04
16.56	-63.86	-39.45
16.63	-63.66	-40.84
16.69	-63.48	-42.18
16.75	-63.31	-43.49
16.82	-63.15	-44.74
16.88	-63.00	-45.94
16.94	-62.87	-47.07
17.01	-62.76	-48.13
17.07	-62.67	-49.10
17.14	-62.59	-49.99
17.20	-62.54	-50.78
17.27	-62.51	-51.47
17.33	-62.51	-52.04
17.40	-62.53	-52.49
17.46	-62.58	-52.81
17.53	-62.65	-52.98
17.59	-62.76	-53.01
17.66	-62.90	-52.88
17.73	-63.07	-52.60
17.79	-63.27	-52.18
17.86	-63.50	-51.61
17.93	-63.76	-50.91
18.00	-64.04	-50.09
18.06	-64.34	-49.14
18.13	-64.67	-48.08
18.20	-65.02	-46.90
18.27	-65.39	-45.62
18.34	-65.78	-44.25
18.41	-66.19	-42.79
18.48	-66.61	-41.24
18.55	-67.05	-39.62
18.62	-67.50	-37.93
18.69	-67.96	-36.18
18.76	-68.43	-34.37
18.83	-68.91	-32.52
18.90	-69.39	-30.64
18.97	-69.88	-28.72
19.04	-70.37	-26.78
19.11	-70.86	-24.83
19.19	-71.35	-22.88
19.26	-71.83	-20.94
19.33	-72.31	-19.01
19.40	-72.78	-17.10
19.48	-73.24	-15.23
19.55	-73.69	-13.40
19.62	-74.13	-11.63
19.70	-74.55	-9.92
19.77	-74.95	-8.29
19.85	-75.32	-6.74
19.92	-75.68	-5.29
20.00	-76.01	-3.95
20.07	-76.31	-2.72
20.15	-76.58	-1.63
20.22	-76.81	-0.68
20.30	-77.01	0.11
20.38	-77.17	0.73
20.45	-77.29	1.18
20.53	-77.36	1.43
20.61	-77.39	1.48
20.69	-77.37	1.34
20.77	-77.31	1.01
20.84	-77.21	0.50
20.92	-77.08	-0.18
21.00	-76.91	-1.03
21.08	-76.70	-2.04
21.16	-76.46	-3.20
21.24	-76.20	-4.51
21.32	-75.91	-5.95
21.40	-75.59	-7.51
21.48	-75.26	-9.20
21.56	-74.90	-11.00
21.64	-74.53	-12.90
21.73	-74.15	-14.89
21.81	-73.75	-16.96
21.89	-73.35	-19.11
21.97	-72.95	-21.32
22.06	-72.54	-23.59
22.14	-72.14	-25.90
22.22	-71.74	-28.24
22.31	-71.34	-30.61
22.39	-70.96	-32.98
22.47	-70.60	-35.36
22.56	-70.25	-37.73
22.64	-69.92	-40.08
22.73	-69.62	-42.39
22.82	-69.35	-44.65
22.90	-69.11	-46.86
22.99	-68.91	-48.99
23.07	-68.75	-51.04
23.16	-68.63	-53.00
23.25	-68.56	-54.84
23.34	-68.55	-56.55
23.43	-68.59	-58.12
23.51	-68.69	-59.55
23.60	-68.85	-60.81
23.69	-69.07	-61.91
23.78	-69.34	-62.85
23.87	-69.67	-63.62
23.96	-70.04	-64.23
24.05	-70.46	-64.66
24.14	-70.92	-64.93
24.23	-71.42	-65.01
24.32	-71.96	-64.92
24.42	-72.52	-64.65
24.51	-73.12	-64.19
24.60	-73.74	-63.55
24.69	-74.39	-62.72
24.79	-75.05	-61.69
24.88	-75.73	-60.48
24.97	-76.42	-59.06
25.07	-77.11	-57.45
25.16	-77.81	-55.63
25.26	-78.51	-53.60
25.35	-79.20	-51.37
25.45	-79.88	-48.92
25.54	-80.55	-46.26
25.64	-81.20	-43.39
25.74	-81.83	-40.29
25.84	-82.43	-36.96
25.93	-82.99	-33.41
26.03	-83.52	-29.63
26.13	-84.01	-25.62
26.23	-84.45	-21.36
26.33	-84.83	-16.87
26.43	-85.16	-12.13
26.53	-85.43	-7.16
26.63	-85.64	-1.98
26.73	-85.80	3.40
26.83	-85.91	8.96
26.93	-85.97	14.67
27.03	-85.98	20.51
27.13	-85.95	26.46
27.23	-85.89	32.51
27.34	-85.78	38.62
27.44	-85.64	44.77
27.54	-85.47	50.94
27.65	-85.27	57.11
27.75	-85.05	63.25
27.86	-84.81	69.33
27.96	-84.55	75.33
28.07	-84.27	81.23
28.17	-83.99	86.99
28.28	-83.70	92.58
28.39	-83.41	97.99
28.49	-83.12	103.17
28.60	-82.83	108.11
28.71	-82.55	112.77
28.82	-82.29	117.11
28.93	-82.05	121.11
29.03	-81.82	124.74
29.14	-81.63	127.96
29.25	-81.46	130.74
29.36	-81.33	133.04
29.48	-81.24	134.88
29.59	-81.18	136.27
29.70	-81.16	137.24
29.81	-81.16	137.82
29.92	-81.20	138.05
30.04	-81.27	137.95
30.15	-81.37	137.55
30.26	-81.49	136.89
30.38	-81.64	135.99
30.49	-81.81	134.89
30.61	-82.00	133.63
30.72	-82.21	132.24
30.84	-82.43	130.76
30.95	-82.67	129.22
31.07	-82.93	127.66
31.19	-83.20	126.11
31.31	-83.47	124.63
31.42	-83.75	123.24
31.54	-84.04	121.99
31.66	-84.33	120.92
31.78	-84.63	120.07
31.90	-84.92	119.49
32.02	-85.20	119.22
32.14	-85.48	119.31
32.26	-85.75	119.80
32.39	-86.01	120.73
32.51	-86.26	122.08
32.63	-86.50	123.86
32.75	-86.72	126.06
32.88	-86.92	128.67
33.00	-87.11	131.68
33.13	-87.28	135.10
33.25	-87.43	138.90
33.38	-87.56	143.10
33.50	-87.67	147.67
33.63	-87.75	152.62
33.76	-87.81	157.93
33.88	-87.84	163.60
34.01	-87.85	169.61
34.14	-87.82	175.97
34.27	-87.76	-177.34
34.40	-87.67	-170.32
34.53	-87.55	-163.00
34.66	-87.39	-155.36
34.79	-87.19	-147.43
34.92	-86.95	-139.21
35.05	-86.68	-130.72
35.18	-86.36	-121.96
35.32	-85.99	-112.96
35.45	-85.59	-103.76
35.58	-85.15	-94.44
35.72	-84.68	-85.05
35.85	-84.19	-75.65
35.99	-83.67	-66.30
36.12	-83.14	-57.08
36.26	-82.60	-48.04
36.40	-82.05	-39.26
36.53	-81.51	-30.79
36.67	-80.96	-22.72
36.81	-80.43	-15.12
36.95	-79.91	-8.05
37.09	-79.41	-1.60
37.23	-78.93	4.17
